Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
RELIANCE.NSE,07/07/2025,11:07:59,1538,1538.5,1537.9,1538.4,6346,0
RELIANCE.NSE,07/07/2025,11:08:59,1538.5,1538.5,1538,1538,6537,0
RELIANCE.NSE,07/07/2025,11:09:59,1538.3,1538.5,1537.9,1538.5,7428,0
RELIANCE.NSE,07/07/2025,11:10:59,1538.5,1538.7,1538.1,1538.5,5234,0
RELIANCE.NSE,07/07/2025,11:11:59,1538.7,1538.7,1536.6,1536.8,43576,0
RELIANCE.NSE,07/07/2025,11:12:59,1536.7,1536.8,1534.7,1536.7,86987,0
RELIANCE.NSE,07/07/2025,11:13:59,1536.4,1536.6,1536.4,1536.5,6415,0
RELIANCE.NSE,07/07/2025,11:14:59,1536.5,1536.5,1536.2,1536.2,12847,0
RELIANCE.NSE,07/07/2025,11:15:59,1536.3,1536.4,1536.2,1536.3,6706,0
RELIANCE.NSE,07/07/2025,11:16:59,1536.4,1536.9,1536.3,1536.3,12949,0
RELIANCE.NSE,07/07/2025,11:17:59,1536.3,1536.4,1536.3,1536.4,2651,0
RELIANCE.NSE,07/07/2025,11:18:59,1536.3,1536.4,1536.3,1536.4,4872,0
RELIANCE.NSE,07/07/2025,11:19:59,1536.4,1536.4,1536.4,1536.4,8305,0
RELIANCE.NSE,07/07/2025,11:20:59,1536.4,1536.4,1536.3,1536.4,3164,0
RELIANCE.NSE,07/07/2025,11:21:59,1536.4,1536.5,1536.4,1536.5,5868,0
RELIANCE.NSE,07/07/2025,11:22:59,1536.5,1536.5,1535.6,1535.9,25321,0
RELIANCE.NSE,07/07/2025,11:23:59,1535.8,1536.2,1535.7,1535.9,3456,0
RELIANCE.NSE,07/07/2025,11:24:59,1536,1536.5,1535.8,1536.5,4744,0
RELIANCE.NSE,07/07/2025,11:25:59,1536.5,1536.5,1536.4,1536.4,5911,0
RELIANCE.NSE,07/07/2025,11:26:59,1536.4,1536.5,1536.4,1536.5,4773,0
RELIANCE.NSE,07/07/2025,11:27:59,1536.5,1537.9,1536.4,1537.9,17870,0
RELIANCE.NSE,07/07/2025,11:28:59,1538,1538.7,1537.9,1538,25884,0
RELIANCE.NSE,07/07/2025,11:29:59,1538,1538.3,1537.9,1538.2,6715,0
RELIANCE.NSE,07/07/2025,11:30:59,1538.2,1538.6,1538.1,1538.4,5874,0
RELIANCE.NSE,07/07/2025,11:31:59,1538.4,1538.4,1537.6,1537.6,6305,0
RELIANCE.NSE,07/07/2025,11:32:59,1537.8,1538,1537.6,1537.9,5420,0
RELIANCE.NSE,07/07/2025,11:33:59,1537.9,1538.5,1537.9,1538.2,5713,0
RELIANCE.NSE,07/07/2025,11:34:59,1538.2,1538.4,1537.9,1538.2,9711,0
RELIANCE.NSE,07/07/2025,11:35:59,1538.3,1538.4,1537.2,1537.8,7766,0
RELIANCE.NSE,07/07/2025,11:36:59,1537.8,1537.8,1537.7,1537.7,4216,0
RELIANCE.NSE,07/07/2025,11:37:59,1537.8,1537.8,1537.2,1537.4,5799,0
RELIANCE.NSE,07/07/2025,11:38:59,1537.4,1537.9,1537.3,1537.7,8286,0
RELIANCE.NSE,07/07/2025,11:39:59,1537.9,1537.9,1536.8,1537.2,6110,0
RELIANCE.NSE,07/07/2025,11:40:59,1537.2,1537.2,1536.8,1536.9,5472,0
RELIANCE.NSE,07/07/2025,11:41:59,1536.9,1536.9,1536.2,1536.8,13066,0
RELIANCE.NSE,07/07/2025,11:42:59,1536.8,1537,1536.4,1536.4,6468,0
RELIANCE.NSE,07/07/2025,11:43:59,1536.4,1536.6,1536.4,1536.6,3523,0
RELIANCE.NSE,07/07/2025,11:44:59,1536.6,1536.7,1536.5,1536.6,4725,0
RELIANCE.NSE,07/07/2025,11:45:59,1536.6,1536.6,1535.8,1535.8,9201,0
RELIANCE.NSE,07/07/2025,11:46:59,1536,1536,1535.5,1535.7,7182,0
RELIANCE.NSE,07/07/2025,11:47:59,1535.7,1535.7,1534,1534,24616,0
RELIANCE.NSE,07/07/2025,11:48:59,1534,1535.1,1533.9,1534.9,10059,0
RELIANCE.NSE,07/07/2025,11:49:59,1534.2,1535.9,1534.2,1535.9,7335,0
RELIANCE.NSE,07/07/2025,11:50:59,1535.9,1537,1535.8,1536.9,8711,0
RELIANCE.NSE,07/07/2025,11:51:59,1536.9,1537.1,1536.9,1536.9,10146,0
RELIANCE.NSE,07/07/2025,11:52:59,1536.9,1536.9,1536.7,1536.9,5957,0
RELIANCE.NSE,07/07/2025,11:53:59,1536.9,1537,1536.6,1536.8,6409,0
RELIANCE.NSE,07/07/2025,11:54:59,1536.8,1536.9,1536.6,1536.9,6358,0
RELIANCE.NSE,07/07/2025,11:55:59,1536.8,1537,1536.8,1537,7575,0
RELIANCE.NSE,07/07/2025,11:56:59,1536.9,1537,1536.9,1537,5869,0
RELIANCE.NSE,07/07/2025,11:57:59,1537,1537,1536.9,1537,6310,0
RELIANCE.NSE,07/07/2025,11:58:59,1536.9,1537,1536.9,1537,5668,0
RELIANCE.NSE,07/07/2025,11:59:59,1537,1537.7,1536.9,1537.2,18808,0
RELIANCE.NSE,07/07/2025,12:00:59,1537,1537.6,1536.9,1537.2,7754,0
RELIANCE.NSE,07/07/2025,12:01:59,1537.2,1537.4,1535.8,1536.5,13281,0
RELIANCE.NSE,07/07/2025,12:02:59,1536.5,1536.6,1535.9,1536.6,8707,0
RELIANCE.NSE,07/07/2025,12:03:59,1536.6,1536.6,1536.3,1536.3,6612,0
RELIANCE.NSE,07/07/2025,12:04:59,1535.9,1536.1,1535.7,1536.1,5707,0
RELIANCE.NSE,07/07/2025,12:05:59,1535.9,1536.1,1535.4,1535.8,11562,0
RELIANCE.NSE,07/07/2025,12:06:59,1535.8,1536.1,1535.1,1536.1,6331,0
RELIANCE.NSE,07/07/2025,12:07:59,1536.1,1536.1,1535.1,1535.5,6636,0
RELIANCE.NSE,07/07/2025,12:08:59,1535.5,1535.6,1535.5,1535.6,5714,0
RELIANCE.NSE,07/07/2025,12:09:59,1535.4,1535.5,1535.1,1535.5,6739,0
RELIANCE.NSE,07/07/2025,12:10:59,1535.5,1535.5,1534.4,1534.9,19347,0
RELIANCE.NSE,07/07/2025,12:11:59,1535.2,1535.5,1534.8,1535.5,17440,0
RELIANCE.NSE,07/07/2025,12:12:59,1535.6,1535.9,1535.1,1535.2,9818,0
